300 1.55699	0.83649
301	1.52028	0.81556
302	1.48356	0.79463
303	1.44685	0.77371
304	1.41013	0.75278
305	1.37342	0.73185
306	1.3367	0.71092
307	1.29999	0.69
308	1.26327	0.66907
309	1.22655	0.64814
310	1.18984	0.62721
311	1.15312	0.60629
312	1.11501	0.58871
313	1.07249	0.58324
314	1.02997	0.57777
315	0.98744	0.5723
316	0.94492	0.56683
317	0.9024	0.56136
318	0.85987	0.5559
319	0.81845	0.56357
320	0.77735	0.57599
321	0.73624	0.58841
322	0.69514	0.60083
323	0.65404	0.61324
324	0.61294	0.62566
325	0.57403	0.63965
326	0.54594	0.66531
327	0.51785	0.69097
328	0.48977	0.71663
329	0.46168	0.7423
330	0.4336	0.76796
331	0.40551	0.79362
332	0.38326	0.81936
333	0.36884	0.84524
334	0.35441	0.87112
335	0.33998	0.897
336	0.32555	0.92288
337	0.31112	0.94876
338	0.29669	0.97464
339	0.28596	0.99869
340	0.27828	1.02066
341	0.27061	1.04263
342	0.26293	1.0646
343	0.25526	1.08657
344	0.24758	1.10854
345	0.23991	1.13051
346	0.23385	1.15108
347	0.22928	1.16981
348	0.22471	1.18854
349	0.22013	1.20727
350	0.21556	1.226
351	0.21099	1.24473
352	0.20641	1.26346
353	0.20242	1.28161
354	0.19947	1.29803
355	0.19653	1.31444
356	0.19358	1.33086
357	0.19064	1.34727
358	0.1877	1.36369
359	0.18475	1.3801
360	0.18184	1.39651
361	0.17987	1.41139
362	0.17789	1.42613
363	0.17591	1.44086
364	0.17394	1.45559
365	0.17196	1.47032
366	0.16998	1.48506
367	0.16801	1.49979
368	0.16638	1.51398
369	0.16503	1.52745
370	0.16367	1.54091
371	0.16232	1.55438
372	0.16096	1.56784
373	0.15961	1.58131
374	0.15825	1.59477
375	0.1569	1.60824
376	0.15593	1.62092
377	0.155	1.6334
378	0.15406	1.64588
379	0.15312	1.65835
380	0.15219	1.67083
381	0.15125	1.68331
382	0.15031	1.69579
383	0.14942	1.70826
384	0.14877	1.71996
385	0.14813	1.73165
386	0.14748	1.74334
387	0.14683	1.75503
388	0.14619	1.76672
389	0.14554	1.77841
390	0.14489	1.7901
391	0.14429	1.80177
392	0.14385	1.81282
393	0.1434	1.82387
394	0.14296	1.83492
395	0.14252	1.84597
396	0.14208	1.85701
397	0.14164	1.86806
398	0.1412	1.87911
399	0.14077	1.89016
400	0.14048	1.90073
401	0.14018	1.91125
402	0.13989	1.92178
403	0.13959	1.9323
404	0.1393	1.94282
405	0.139	1.95334
406	0.13871	1.96386
407	0.13842	1.97438
408	0.13821	1.98463
409	0.13802	1.99471
410	0.13783	2.00479
411	0.13765	2.01487
412	0.13746	2.02495
413	0.13727	2.03503
414	0.13708	2.04511
415	0.1369	2.05519
416	0.13674	2.06522
417	0.13663	2.07493
418	0.13652	2.08463
419	0.13641	2.09434
420	0.1363	2.10405
421	0.13619	2.11375
422	0.13608	2.12346
423	0.13597	2.13317
424	0.13586	2.14288
425	0.13579	2.15243
426	0.13574	2.16182
427	0.13569	2.17121
428	0.13564	2.1806
429	0.13559	2.18999
430	0.13553	2.19939
431	0.13548	2.20878
432	0.13543	2.21817
433	0.13538	2.22756
434	0.13537	2.23677
435	0.13536	2.24589
436	0.13535	2.25501
437	0.13534	2.26413
438	0.13533	2.27325
439	0.13532	2.28237
440	0.13531	2.29149
441	0.1353	2.30061
442	0.13529	2.30973
443	0.13531	2.31869
444	0.13534	2.32758
445	0.13536	2.33646
446	0.13538	2.34535
447	0.13541	2.35423
448	0.13543	2.36312
449	0.13545	2.372
450	0.13548	2.38089
451	0.1355	2.38977
452	0.13554	2.39856
453	0.13559	2.40725
454	0.13563	2.41593
455	0.13568	2.42461
456	0.13573	2.43329
